comment,emotion
"Amei demais esse vídeo, me deixou muito feliz!",alegria
"Que notícia triste, fiquei bem chateado agora.",tristeza
"Nossa, que susto! Não esperava por essa.",surpresa
"Senti um medo enorme nessa parte, afff.",medo
"Que coisa mais nojenta, credo!",desgosto
"Estou radiante de alegria com essa novidade!",alegria
"Que raiva desse personagem, insuportável!",raiva
"Uau, que reviravolta! Fiquei de boca aberta.",surpresa
"Essa cena me deu muito medo, não consigo nem olhar direito.",medo
"Que bagunça horrível, dá até desgosto de olhar.",desgosto
"Ri muito com esse vídeo, que engraçado!",alegria
"Meu coração está apertado de tanta tristeza.",tristeza
"Inacreditável o que aconteceu, fiquei surpreso demais.",surpresa
"Essa música me dá calafrios, que medo!",medo
"Que sabor horrível, não consegui nem engolir.",desgosto
"Que dia maravilhoso, estou transbordando alegria!",alegria
"Estou furioso com essa situação, que absurdo!",raiva
"Fiquei totalmente perplexo com essa revelação.",surpresa
"Essa sombra me deu um baita medo agora.",medo
"Que sujeira, dá vontade de vomitar de tanto desgosto.",desgosto
"Adorei a energia desse vídeo, me deixou super animado!",alegria
"As lágrimas não param de cair, que dor.",tristeza
"Não esperava por essa de jeito nenhum, que surpresa!",surpresa
"Essa história é de arrepiar, senti muito medo.",medo
"Que cheiro insuportável, me deu até ânsia.",desgosto
"Estou tão contente com o resultado, pura alegria!",alegria
"Que ódio, não aguento mais isso!",raiva
"Meu queixo caiu com essa notícia, fiquei surpreso.",surpresa
"Essa criatura me deu pavor, que horror!",medo
"Que aspecto repugnante, não consigo olhar.",desgosto
"Que felicidade contagiante, amei!",alegria
"Sinto um vazio enorme, que tristeza profunda.",tristeza
"Fiquei boquiaberto com essa apresentação, que surpresa!",surpresa
"Essa lenda me dá muito medo, evito pensar nela.",medo
"Que textura desagradável, me deu até calafrio.",desgosto
"Estou pulando de alegria com essa conquista!",alegria
"Que raiva, vontade de gritar!",raiva
"Fiquei besta com essa informação, totalmente surpreso.",surpresa
"Essa casa abandonada me dá arrepios, puro medo.",medo
"Que visão asquerosa, não consigo acreditar.",desgosto
"Que momento mágico, pura alegria!",alegria
"A tristeza me consome nesse momento.",tristeza
"Fiquei atônito com essa cena, que surpresa!",surpresa
"Essa barulho repentino me deu um susto enorme.",medo
"Que gosto amargo, não quero provar de novo.",desgosto
"Estou muito feliz por você, parabéns!",alegria
"Que raiva, injustiça total!",raiva
"Fiquei pasmo com essa descoberta, que surpresa!",surpresa
"Essa figura sombria me aterroriza.",medo
"Que fedor insuportável, preciso sair daqui.",desgosto
"Que dia lindo, cheio de alegria!",alegria
"A saudade aperta o coração, que tristeza.",tristeza
"Fiquei admirado com essa habilidade, que surpresa!",surpresa
"Essa sombra na janela me deixou com muito medo.",medo
"Que sensação ruim, me deu até náusea.",desgosto
"Estou explodindo de felicidade!",alegria
"Que raiva, me fizeram perder a paciência!",raiva
"Fiquei impressionado com essa performance, que surpresa!",surpresa
"Essa história de fantasma me deixa apavorado.",medo
"Que lixo, que nojo!",desgosto
"Que alegria estar aqui com vocês!",alegria
"A solidão me invade, que tristeza.",tristeza
"Fiquei chocado com essa notícia, que surpresa!",surpresa
"Essa criatura horripilante me deu pesadelos.",medo
"Que bagunça imunda, dá vontade de limpar tudo.",desgosto
"Estou nas nuvens de tanta alegria!",alegria
"Que raiva, não consigo acreditar nessa falta de respeito!",raiva
"Fiquei boquiaberto com essa paisagem, que surpresa!",surpresa
"Essa floresta escura me dá calafrios.",medo
"Que gosma nojenta, argh!",desgosto
"Que festa animada, pura alegria!",alegria
"O luto é uma dor imensa, que tristeza.",tristeza
"Fiquei embasbacado com essa obra de arte, que surpresa!",surpresa
"Essa casa velha e abandonada me dá muito medo.",medo
"Que sujeira pegajosa, que horror!",desgosto
"Estou radiante de felicidade com essa conquista!",alegria
"Que raiva, me sinto impotente!",raiva
"Fiquei estupefato com essa revelação, que surpresa!",surpresa
"Essa máscara assustadora me deu um susto.",medo
"Que ranço dessa pessoa, insuportável!",desgosto
"Que show incrível, pura alegria!",alegria
"A melancolia toma conta de mim, que tristeza.",tristeza
"Fiquei maravilhado com essa cultura, que surpresa!",surpresa
"Essa rua deserta à noite me dá muito medo.",medo
"Que líquido viscoso e nojento!",desgosto
"Estou transbordando de alegria com essa notícia!",alegria
"Que raiva, não consigo entender essa atitude!",raiva
"Fiquei abismado com essa construção, que surpresa!",surpresa
"Essa sombra se movendo me deixou apavorado.",medo
"Que comida intragável, que desgosto!",desgosto
"Que dia especial, cheio de alegria e sorrisos!",alegria
"A angústia me corrói por dentro, que tristeza.",tristeza
"Fiquei perplexo com essa coincidência, que surpresa!",surpresa
"Essa história macabra me deu calafrios na espinha.",medo
"Que cheiro forte e desagradável!",desgosto
"Estou muito feliz com a sua presença!",alegria
"Que raiva, me sinto enganado!",raiva
"Fiquei admirado com a sua inteligência, que surpresa!",surpresa
"Essa figura estranha na janela me deu muito medo.",medo
"Que textura áspera e nojenta!",desgosto
"Que momento de celebração, pura alegria!",alegria
"A saudade dos que se foram traz muita tristeza.",tristeza
"Fiquei boquiaberto com a beleza desse lugar, que surpresa!",surpresa
